ball_id, ball_group, x_position, y_position, radius
60, None, -0.000783464, -0.0116477, 0.000743989
61, bottom_grip, -0.0147461, -0.0494558, 0.000563542
62, None, 0.019737, 0.0361316, 0.000508309
63, None, 0.00155727, -0.015602, 0.000727707
64, None, 0.0207683, -0.012264, 0.000743746
65, None, 0.0152298, 0.0280921, 0.000588257
66, None, -0.0100238, -0.0441398, 0.000646488
67, None, -0.0171067, -0.0145009, 0.000715959
68, None, -0.0030686, -0.029096, 0.000507543
69, None, -0.00641188, -0.0263599, 0.000718533
70, None, 0.000277032, -0.0355609, 0.000749461
71, None, -0.00514005, 0.0345636, 0.000685625
72, None, 0.0230836, -0.015072, 0.000554252
73, None, 0.00325397, -0.0298749, 0.00064192
74, None, 1.92724e-05, -0.0056526, 0.00061199
75, None, 0.013931, 0.0306644, 0.000620573
76, None, -0.00500381, -0.0221067, 0.000540018
77, None, 0.0157375, -0.0418637, 0.000628765
78, None, 0.00376009, 0.0216367, 0.000508396
79, None, 0.00839941, 0.0196018, 0.000512578
80, None, -0.0101649, 0.0236793, 0.000538448
81, None, -0.0234171, 0.026527, 0.00054569
82, None, -0.00806827, 0.00852991, 0.000643337
83, None, 0.0183829, 0.0187171, 0.000736391
84, None, -0.0121952, 0.00448799, 0.000626555
85, None, -0.0186196, 0.0161925, 0.000648278
86, None, 0.0231316, 0.0110328, 0.000648362
87, None, 0.0186656, 0.0139254, 0.000730394
88, None, -0.00197674, 0.0353501, 0.000585121
89, None, 0.0165306, -0.0243131, 0.000689511
90, None, -0.018278, 0.0184591, 0.000747685
91, None, 0.0243798, 0.0483067, 0.000628588
92, None, 0.018667, 0.0328927, 0.000589365
93, None, 0.0151571, -0.0185496, 0.000539827
94, None, 0.011556, -0.0427514, 0.000603816
95, None, 0.00795925, 0.0108052, 0.000594741
96, None, 0.00761405, 0.00321615, 0.000626468
97, None, -0.0154638, -0.00575984, 0.000572822
98, None, -0.00764546, -0.00542885, 0.000520917
99, None, -0.0156682, -0.0455968, 0.000664299
100, None, 0.012365, -0.00492823, 0.000559659
101, None, -0.0168429, 0.0291291, 0.000513543
102, None, 0.0245299, 0.024083, 0.000513794
103, None, 0.0101783, 0.0415306, 0.000501627
104, None, -0.000959238, 0.0244235, 0.000625882
105, None, 0.0209302, 0.00304831, 0.000699179
106, None, -0.0204565, -0.0272436, 0.000610708
107, None, 0.0123518, -0.0392754, 0.000530311
108, None, 0.0185714, 0.0265787, 0.000726848
109, None, -0.0146348, 0.00211415, 0.000657444
110, None, -0.0097764, -0.0207965, 0.000669978
111, None, 0.00850374, -0.0125927, 0.000660148
112, None, 0.0070822, -0.0205754, 0.000692958
113, None, 0.00578837, -0.0337298, 0.000664494
114, None, 0.000369667, 0.0113512, 0.000716378
115, None, 0.0220528, -0.0082697, 0.000639225
116, None, -0.0164949, -0.024865, 0.000724108
117, None, -0.00216417, 0.00289498, 0.000528143
118, None, -0.0123169, 0.0198027, 0.000747355
119, None, 0.0123754, 0.047523, 0.000522707
120, None, 0.0232318, 0.013367, 0.000613073
121, None, 0.0120902, 0.0278887, 0.000577762
122, None, -0.00753631, 0.014862, 0.000729027
123, None, -0.0179905, 0.0013314, 0.000732345
124, None, -0.0052084, -0.0110769, 0.000520857
125, None, -0.0204847, -0.0204704, 0.000506884
126, None, -0.0168269, -0.0200977, 0.00073449
127, None, 0.0122733, 0.0038702, 0.000657932
128, None, -0.00525911, 0.0241025, 0.000592871
129, None, -0.000135497, -0.0433716, 0.000556184
130, None, -0.0142918, 0.00333315, 0.000635387
131, None, -0.0175784, 0.0448008, 0.000692764
132, None, -0.0107916, -0.0373166, 0.000612998
133, None, 0.00664677, 0.0289467, 0.000733505
134, None, -0.024478, -0.0398493, 0.000535169
135, None, -0.0115527, -0.0231268, 0.000671837
136, None, 0.00484089, 0.0397351, 0.000658295
137, None, 0.0192463, -0.0056964, 0.000743175
138, None, 0.0198979, -0.0156925, 0.000738569
139, None, -0.0107697, -0.0432939, 0.000508491
140, None, -0.0180451, 0.00259446, 0.000542148
141, None, 0.0243422, -0.0177123, 0.000699155
142, None, 0.00854284, 0.0275956, 0.000634655
143, None, -0.0110115, -0.0466072, 0.000664285
144, None, 0.000524434, -0.0423471, 0.000719444
145, None, -0.0189317, -0.0176132, 0.000500531
146, None, -0.00250427, -0.00506551, 0.000729542
147, None, -0.00981183, -0.000152459, 0.000591766
148, None, 0.0054, -0.0438109, 0.000685789
149, None, 0.0196135, -0.0143388, 0.000702225
150, None, 0.0106073, 0.00187773, 0.000730376
151, None, -0.00503327, -0.0337256, 0.000606199
152, None, -0.0097017, -0.0380252, 0.000747382
153, None, -0.00859337, 0.0365862, 0.000509948
154, None, -0.0137766, 0.00450892, 0.000540798
155, None, -0.00710325, 0.0137296, 0.000528698
156, None, 0.00386825, -0.0197326, 0.000594527
157, None, 0.0119783, 0.0336373, 0.000507375
158, None, 0.0122179, -0.0296133, 0.00056673
159, None, 0.020304, -0.0215979, 0.000580336
160, None, 0.0134279, 0.0156727, 0.000737676
161, None, 0.00368558, 0.048379, 0.000582228
162, None, 0.000792457, 0.0307762, 0.000626829
163, None, 0.00604418, 0.025516, 0.000604112
164, None, 0.00841936, -0.042609, 0.000662468
165, None, -0.00884566, 0.00507606, 0.000686752
166, None, 0.0171239, -0.0422222, 0.000612084
167, None, 0.00262203, 0.0116439, 0.000524122
168, None, 0.0187452, -0.0346315, 0.000728704
169, None, -0.0230848, -0.00701376, 0.000650754
170, None, -0.00684737, 0.0267109, 0.000522
171, None, 0.022228, 0.0381896, 0.000724276
172, None, -0.000626876, 0.0138292, 0.000706155
173, None, 0.00498644, 0.00962728, 0.000697451
174, None, 0.0033065, 0.00595312, 0.000549835
175, None, -0.00257583, 0.0100103, 0.000500234
176, None, -0.0111167, -0.00378461, 0.000631689
177, None, -0.0218563, 0.0211245, 0.000735171
178, None, 0.0122163, 0.0442909, 0.0007334
179, None, -0.014989, -0.0291267, 0.000500627
180, None, -0.0235259, -0.0432164, 0.00050051
181, None, -0.0243834, -0.012705, 0.000645352
182, None, -0.00201373, -0.02558, 0.000661618
183, None, -0.0166001, 0.0072137, 0.000625571
184, None, 0.00506877, -0.00461828, 0.000654121
185, None, -0.000452575, -0.017431, 0.000716066
186, None, -0.0133969, 0.00794291, 0.000625251
187, None, -0.00125593, 0.0150622, 0.000724488
188, None, 0.0165701, 0.0328863, 0.00060449
189, None, 0.0169043, -0.0297576, 0.000509866
190, None, 0.0119165, 0.0266294, 0.000714352
191, None, 0.0170588, 0.00330372, 0.000656686
192, None, -0.017053, -0.0101034, 0.000714068
193, None, -0.0187804, 0.00609862, 0.000615546
194, None, 0.00149964, 0.00069833, 0.00055082
195, None, 0.00991138, 0.0180978, 0.000636668
196, None, -0.0120557, 0.0185714, 0.000520443
197, None, -0.00198173, 0.0364725, 0.000562757
198, None, 0.000827123, -0.0286191, 0.000582414
199, None, -0.0176183, 0.0194984, 0.000512357
200, None, -0.0189207, 0.0448199, 0.000677673
201, None, -0.00402223, -0.0313664, 0.000569031
202, None, -0.00635392, 0.0240156, 0.000535863
203, None, -0.00138073, 0.0486906, 0.000730045
204, None, 0.000592848, -0.0197814, 0.000697578
205, top_grip, 0.01444, 0.0492798, 0.000723977
206, None, 0.0164779, -0.00161607, 0.000567251
207, None, -0.00585244, -0.00420895, 0.000595275
208, None, 0.0155803, -0.00453615, 0.000612135
209, top_grip, 0.0132747, 0.0495201, 0.000508604
210, None, 0.00333442, 0.0376023, 0.000697182
211, None, 0.0111729, -0.0389223, 0.000738337
212, None, -0.019466, 0.0241931, 0.000747882
213, None, 0.00992446, -0.0189208, 0.000544855
214, None, 0.0222488, -0.0168848, 0.000569992
215, None, 0.0142699, -0.0193313, 0.000660345
216, None, 0.00678569, 0.0485047, 0.000505989
217, None, -0.0243118, 0.0128497, 0.000692456
218, None, -0.0213502, 0.047232, 0.000691104
219, None, -0.0139593, 0.0156418, 0.00073663
220, None, 0.000208268, 0.0249881, 0.000706039
221, None, 0.0128959, -0.044133, 0.000539172
222, None, -0.00201606, -0.00655332, 0.000686692
223, None, 0.0203821, 0.0470094, 0.000649871
224, None, 0.0213503, -0.0442971, 0.000619406
225, None, 0.00488257, -0.00738212, 0.000542313
226, None, -0.00485591, -0.0158599, 0.000668501
227, None, 0.0145163, -0.00756869, 0.000656044
228, None, -0.0192843, -0.0483438, 0.000668528
229, None, -0.0167845, 0.0439126, 0.000561229
230, None, -0.0178519, -0.0461528, 0.000538894
231, None, 0.00313193, -0.0449438, 0.000716493
232, None, 0.0120269, -0.019523, 0.000732421
233, None, 0.00745809, -0.00251176, 0.000515218
234, None, -0.0153196, -0.0485125, 0.00058324
235, None, 0.0244396, 0.0346564, 0.00057261
236, None, 0.00157452, 0.0172734, 0.000578611
237, None, 0.0104919, -0.0423314, 0.000568839
238, None, -0.00158428, -0.0125822, 0.000522518
239, None, -0.00305345, 0.0439588, 0.000682538
240, None, -0.00143527, 0.045641, 0.000526853
241, None, 0.00684862, 0.00845863, 0.000610525
242, None, 0.024478, -0.0190135, 0.000528253
243, None, -0.00896032, 0.0285001, 0.000533773
244, None, -0.0188025, 0.0470826, 0.000614516
245, None, -0.0120257, -0.0376994, 0.000743509
246, None, -0.00294159, -0.0331141, 0.000579262
